L.P		KLUB/SPONSOR	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	GRUPA	M/K	TOP	BONUS
165	MICHAŁ ROKITA	FFK	t	t	t	t	t	t	t														Lajt	M	7	7
166	JANUSZ? NOWOSIELSKI	CW TOP	t	t	t	t	t	t	t				t										Lajt	M	7	7
167	ARTUR NOWAK	PROGRES	t	t	t	t	t	t	t				t										Lajt	M	7	7
168	DORIAN STARCZEWSKI		t	t	t	t	t	t	t														Lajt	M	7	7
169	BARTOSZ BODYNEK	CSC ADVENTURE ACADEMY	t	t	t	t	t	t	b			b											Lajt	M	6	8
170	ANNA MROCZEK	SALEWA BLOCK	t	t	t	t	t	t	b		b												Lajt	K	6	8
171	SERGIUSZ BEŁZ	ABB	t	t	t	t	t	t	b		b		b										Lajt	M	6	8
172	KAROLINA WIATROWSKA		t	t	t	t	t	t	b			b											Lajt	K	6	8
173	SZYMON OCIEPKA		t	t	t	t	t	t	b				b										Lajt	M	6	7
174	RAFAŁ CYBA		t	t	t	t	t	t	b														Lajt	M	6	7
175	MARCIN KURDEK	CW TRANSFORMATOR	t	t	t	t	t	t	b														Lajt	M	6	7
176	BARTEK PAJĄK	CW TRANSFORMATOR	t	t	t	t	t	t			b												Lajt	M	6	7
177	ANIA RAPACZ	MYSTICCLIMB	t	t	t	t	t	t					t										Lajt	K	6	6
178	DANIEL POROSZEWSKI	KW CZĘSTOCHOWA		t	t	t	t	t				t	t			b	b						Lajt	M	6	6
179	ARTUR WYLEZOL	BUNKIER W SKALE	t	t	t	t	t	t															Lajt	M	6	6
180	MICHAŁ ŚWIDERSKI	WITCHHOLDS, KSE JURA	t	t	t	t	t	t					t										Lajt	M	6	6
181	SŁAWOMIR KOWAL	PETZL FISHING TEAM	t	t	t	t	t	t															Lajt	M	6	0
182	DAWID RZEZIK		t	b	t	t	t	t	b														Lajt	M	5	7
183	WITOLD KWAPISZ	CSC ADVENTURE ACADEMY	t	t	t	t	t	b	b														Lajt	M	5	7
184	MARTYNA MICHALSKA		t	t	t	t		t	b				b										Lajt	K	5	6
185	MACIEJ SOCHA	PROGRES	t		t	t	t	t	b														Lajt	M	5	6
186	PIOTR TABOŁ	CW TRANSFORMATOR	t	t	t	t		t	b														Lajt	M	5	6
187	MAŁGORZATA PIETRUSZKA	SAKWA AGH	t	t	t		t	t	b														Lajt	K	5	6
188	MATEUSZ JAGODA	CSC ADVENTURE ACADEMY	t	t	t	t	t																Lajt	M	5	5
189	KINGA WALCZAK	CW TOP	t		t		t	t	b														Lajt	K	4	5
190	ANNA GNIADY		t		t						t		b										Lajt	K	3	3
191	PATRYCJA JAWOROWSKA	PETZL FISHING TEAM	b	b	t			t															Lajt	K	2	4
192	BASIA CISZYŃSKA	KW KATOWICE	b		t		t	b															Lajt	K	2	4
193	SZYMON ZAREMBA			b	t	t	b																Lajt	M	2	4
194	ALEKSANDRA FILIPEK		b	b	t			b	b		b												Lajt	K	1	6
195	KATARZYNA DYMIŃSKA			b	t		b																Lajt	K	1	3
196	JAKUB ZIĘTEK	PRIMAROCA	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Junior	M	11	15
197	KAROL JASTRZĘBSKI	AVATAR	t	t	t	t	t	t	t	t	t	t	t	b	b	b	b						Junior	M	11	15
198	BIANKA JANECKA	WITCHHOLDS	t	t	t	t	t	t	t		t	t	t	b									Junior	K	10	11
199	ZUZANNA MIĘTUS	SKARPA BYTOM	t	t	t	t		t	t	b	t	t	t	b			b						Junior	K	9	12
200	MAŁGORZATA WŁODARCZYK	FANTASTYCZNE WSPINANIE	t	t	t	t	t	t	t	b	t	b	t										Junior	K	9	11
201	MARTYNA CIECHANOWSKA	GTW GLIWICE	t	t	t	t		t	b		t	b	t	b									Junior	K	7	10
202	IGOR NIEBYLSKI	GTW GLIWICE	t	t	t	t	t	t	b		b	b	b										Junior	M	6	10
203	DOMINIKA HERMAN	TRANSFORMATOR	t	t	t		t	t	b														Junior	K	5	6
204	TOMEK DUDEK	KW CZĘSTOCHOWA/PION	t	t	t				b		b		t										Junior	M	4	6
205	PATRYCJA AKSMAN	GTW GLIWICE	b		t			t			t												Junior	K	3	4
206	SZYMON FATYGA	CSC ADVENTURE ACADEMY	t	b	t				b														Junior	M	2	4
207	MATEUSZ SZOPA		b		t		t	b															Junior	M	2	4
208	MILENA CIECHANOWSKA		b	b	t				b		b												Junior	K	1	5
